Title,Content,Tags,Topics
"Wing Infonet, a city-based information technology company specialising in accounting software, yesterday launched Wings 2000, a general purpose product.","Wing Infonet, a city-based information technology company specialising in accounting software, yesterday launched Wings 2000, a general purpose product. A software company in the area of accounting products, Wing Infonet, has been marketing and updating the accounting products since 1988 and Wing 2000 is its tenth version. According to the company's director, Ajay Gandhi, Wing 2000 could computerise the entire business.






","Wing Infonet, Ajay Gandhi","rs, per, said, cent, company, would, market, also, india, consumer"
"fabmart.com India's first online music store, has tied up with HMV to offer customers the potion of ordering the soundtrack of Mani Ratnam's latest movie, Alai Payuthey, before the official launch of the movie or the soundtrack.","fabmart.com India's first online music store, has tied up with HMV to offer customers the potion of ordering the soundtrack of Mani Ratnam's latest movie, Alai Payuthey, before the official launch of the movie or the soundtrack. The first 500 customers who order the album before February 20 will get free tickets to the movie when released in their respective cities.






","HMV, India, Mani Ratnam's, Alai Payuthey","said, rs, bank, per, would, india, banks, government, cent, also, per, cent, said, also, market, company, india, bank, rs, would"
City-based Fusion Software Engineering has successfully delivered an online integrated media advertising system.,"City-based Fusion Software Engineering has successfully delivered an online integrated media advertising system. (IMAS) to its Swiss customer Publigrouppe. IMAS fully automates the process of placing the advertisements on the platform or sities provided on the INternet domain, a press statement said.






","IMAS, Publigrouppe, Fusion Software Engineering","rs, per, said, cent, company, would, market, also, india, consumer, said, rs, bank, per, would, india, banks, government, cent, also, per, cent, said, also, market, company, india, bank, rs, would"
"Compex Systems Ltd has launched its latest network product, GR 3008, an ultra fast gigabit hub for data intensive environment and a modem router NET Passage 11 and 12 for office connections and Internet sharing creating a complete solution for home and office users, a press release said. 






","Compex Systems Ltd has launched its latest network product, GR 3008, an ultra fast gigabit hub for data intensive environment and a modem router NET Passage 11 and 12 for office connections and Internet sharing creating a complete solution for home and office users, a press release said. 






",Compex Systems Ltd,"rs, per, said, cent, company, would, market, also, india, consumer, said, rs, bank, per, would, india, banks, government, cent, also, per, cent, said, also, market, company, india, bank, rs, would"
"The Securities and Exchange Board of India (Sebi) yesterday pulled up major stock exchanges for not doing much to check manipulative tendencies
 
 Although the regulator expressed satisfaction on collection of margins, it informed the bourses that they needed to be far more proactive on abnormal price movements and identifying investors responsible for such movements.
 
 ","The Securities and Exchange Board of India (Sebi) yesterday pulled up major stock exchanges for not doing much to check manipulative tendencies
 
 Although the regulator expressed satisfaction on collection of margins, it informed the bourses that they needed to be far more proactive on abnormal price movements and identifying investors responsible for such movements.
 
 Sebi sources said senior executive director L K Singhvi was unhappy over the progress in integrating the markets even though considerable ground had been made on safety issues like collecting margins.
 
 Sebi was also miffed over the fact that none of the exchanges had been able to furnish details of the positions, volumes and evidence of any circular trading by their top 20 brokers, as demanded by the regulator two weeks back.
 
 ""None of the exchanges was able to give definite figures. They are not doing enough. The capability to detect abnormal price movements exists, but the issue is to what extent they use this capability. We have told them that they must pull up their socks,"" said a top Sebi official who was present at the meeting.
 
 Sebi also criticised the exchanges for their inability to to implement the earlier decision of relaxing price bands by 4 per cent after a 30-minute gap. The exchanges' excuse is that due to software-related problems it is not possible to electronically track the relaxation of these bands.
 
 But Sebi officials said the exchanges had agreed to implement this at an inter-exchange surveillance group. ""We have, in fact, been forced to defer the move indefinitely owing to their failure to address the software-related issues,"" said the official. Sebi had recently asked the exchanges to identify their top 20 brokers and gather data on their trade, volumes and detect indications of circular trading.
 
 About a month back, the regulator wrote a strong letter to all the exchanges, expressing its unhappiness over the way they were tackling unusual volatility in prices.
 
 Sebi chairman DR Mehta said the regulator was by and large satisfied with the exchanges since this time the regulator found exchanges to be ""far more alert"".
 
 But this, Sebi officials said, pertained more to the stock exchanges' slapping margins on scrips rather than actually detecting manipulations in scrips and reporting it to the regulator.






","DR Mehta, Sebi, L K Singhvi, The Securities and Exchange Board of India","rs, per, said, cent, company, would, market, also, india, consumer"
"The 15th Electric Power Survey conducted by the Central Electricity Authority (CEA) has forecast a huge deficit of 8,000 mw for the northern region by 2012, the end of the 11th Plan period.
 
 ","The 15th Electric Power Survey conducted by the Central Electricity Authority (CEA) has forecast a huge deficit of 8,000 mw for the northern region by 2012, the end of the 11th Plan period.
 
 The Central Electricity Authority has also identified 6,000 mw to 7,000 mw of surplus power that could be exported to the north from the east. The remaining deficit will be met by the southern region.
 
 The southern region, which will have a surplus of about 2,500 mw by 2012, will be able to meet the marginal deficit that will be faced by the western region, according to the Central Electricity Authority forecast.
 
 In its recommendation, the Central Electricity Authority study has said: ""Increase in generating capacity in the eastern region for supplying loads in the northern region is a part of the least cost option. Transmission of a substantial amount of power (6,000-7,000 mw) is needed from the east to the north. The southern region is also expected to be surplus in power (1,000 mw-to-2500 mw) on account of the anticipated construction of a large number of projects by independent power producers."" 
 
 The surplus in the south, the study says, will be ""utilised in the western region partially, and transmitted via the western region, to the northern region"".
 
 The study has identified major transmission corridors for interconnections between the eastern and northern, western and northern, and western and southern regions.
 
 Suggesting an ""innovative method to enable development of these transmission highways"", the Central Electricity Authority  study has recommended two options: An ""interest-free loan with an extended repayment period to the Central Transmission Utility which would most likely build these lines, as was done in 1960s for construction of interstate lines to consolidate regional grid operation.""
 
 Second, the ""Government of India may fund the project with recovery of investment through back-loaded tariff so that the state utilities which are presently handicapped due to weak financial position, would not be further stressed to bear the heavy transmission charges on account of these bulk inter-regional transmission lines. These transmission highways are analogous to national highways and could be built as basic infrastructure projects.""
 
 In another interesting observation, the Central Electricity Authority study points out that that the Talcher-Kolar HVDC line will not be utilised as the southern region becomes surplus in power and will not need to import power from the eastern region.
 
 ""Accordingly, a considered view is required to be taken on generation addition programme in the southern region so as to ensure that the HVDC Talcher-Kolar bipole does not become redundant in the 10th and 11th Plan timeframe,"" the study says.






","the HVDC Talcher-Kolar, The Central Electricity Authority, the ""Government of India, Suggesting, Electric Power Survey, the Central Electricity Authority, the Central Transmission Utility, CEA, Talcher","rs, per, said, cent, company, would, market, also, india, consumer"
The Supreme Court has stayed the Delhi High Court order allowing Spectrum Power Generation Ltd (SPGL) to issue preferential shares for a mega power project in Andhra Pradesh.,"The Supreme Court has stayed the Delhi High Court order allowing Spectrum Power Generation Ltd (SPGL) to issue preferential shares for a mega power project in Andhra Pradesh. The apex court also asked the high court to speed up the hearing of the case pending before it.
 
 The appeal against the high court order was moved by the National Thermal Power Corporation (NTPC) and Spectrum Technologies US, which were promoters in the original project along with Jaya Foods. Later, Jaya Foods, a vermicelli firm owned by Krishna Rao, allegedly revoked the promoters' agreement. The litigation between the promoters over the issue is pending in the high court.
 
 Meanwhile, Spectrum Power Generation, the new firm that has stepped in place of Jaya Foods moved the high court and got an order to offer preferential shares. This has now been stopped by the Supreme Court bench comprising Justice V N Khare and Justice Santosh Hegde.
 
 Senior counsel Kapil Sibal, representing the US company, argued that it was willing to bring in enough funds for the project through equity. NTPC counsel Shanti Bhushan also submitted that it was willing to do the same.
 
 He said NTPC had acquired the land and got clearance for all the infrastructure facilities. However, they were ousted by the vermicelli firm which ""siphoned off"" the capital, counsel said. They cited reports by the Industrial Development Bank of India and the State Bank of India that opposed preferential shares plan by Spectrum Power Generation.
 
 P Chidambaram, counsel for Spectrum Power Generation, submitted that the shareholders must decide about the raising of capital. Under Section 81 of the Companies Act, it was mandatory that their meeting be called. The court cannot interfere in that.
 
 Moreover, the proportion of shares should not be changed while the high court is set to hear the case next week. He pleaded that SPGL be allowed to raise money through preferential shares from mutual funds.






","the State Bank of India, US, Spectrum Technologies, The Supreme Court, Spectrum Power Generation, Andhra, P Chidambaram, Santosh Hegde, Shanti Bhushan, the Industrial Development Bank of India, Jaya Foods, the National Thermal Power Corporation, Spectrum Power Generation Ltd, V N, NTPC, Delhi High Court, Krishna Rao, the Supreme Court, Kapil Sibal","said, rs, bank, per, would, india, banks, government, cent, also"
"China Light and Power, promoters of the 1,000 mw Mangalore power project in Karnataka, is set to reduce its power tariff by nearly 18 to 20 per cent due to a decline in the price of coal.","China Light and Power, promoters of the 1,000 mw Mangalore power project in Karnataka, is set to reduce its power tariff by nearly 18 to 20 per cent due to a decline in the price of coal. At present, the company charges a tariff of Rs 2.4 per unit.
 
 Sources said the reduction in tariff was feasible due to the massive reduction in the price of imported coal_which has fallen by as much as 44 per cent. 
 
 They said the massive difference in coal prices could be incorporated into the power tariff as China Light and Power was ready to buy coal at spot rates instead of the long-term rate. 
 
 As compared to the $39 per tonne charged for the long-term supply of coal by the Mangalore Power Company (MPC), the spot rate has fallen to around $20 to $22 per tonne. Sources said the tariff, as worked out under the power purchase agreement, was Rs 2.4 per unit, of which fuel costs are around Rs 1 per unit.
 
 Under the present coal supply agreement cleared by the Karnataka state government for the Mangalore Power Company, 70 per cent of the total coal requirement has to be based on long-term contracts, 20 per cent on short-term contracts and only 10 per cent on the spot rate.
 
 The formula was worked out by the state electricity board after consultation with the promoters and financiers of the power venture.
 
 The board had wanted the Mangalore Power Company to avail of any decline in the spot prices of coal which would thereby be passed on to the consumers (as fuel costs are a pass through).
 
 However, negotiations between the state electricity board and Mangalore Power Company had even reached an impasse when the promoters insisted on long-term contracts.
 
 According to the promoters, their financiers preferred long-term contracts  since there was no perceived threat of the plant having to shut down due to the non-availability of fuel.
 
 The promoters would have to cough up liquidation damages to the board in this event, which the lenders wanted to avoid.
 
 As compared to the earlier contract_-the promoters now feel that it would not be very difficult for China Light and Power to pick up coal on arates and supply it to the site as it sources huge amounts of coal at spot rates for a variety of coal fired plants in the Asian region.
 
 Sources said informal discussions have already started with some consultants.






","the Mangalore Power Company, MPC, Karnataka, China Light and Power, Mangalore Power Company","said, rs, bank, per, would, india, banks, government, cent, also"
"Foodgrain production will have to grow at five million tonne a year in the next two decades if the country has to sustain food self-sufficiency, said noted agriculture expert M S Swaminathan.
 
 ","Foodgrain production will have to grow at five million tonne a year in the next two decades if the country has to sustain food self-sufficiency, said noted agriculture expert M S Swaminathan.
 
 Total grain output would have to be raised to nearly 300 million tonne, from the present around 200 million tonne, by 2020 to meet the demand of the burgeoning population, he said while inaugurating the five-day international conference on management of natural resources for sustainable agriculture in the 21st century, here, yesterday.
 
 Hailed as the man behind India's green revolution, Swaminathan said there was a need for a ""yield revolution"" now. It would be possible only if greater attention was paid to improving the efficiency of input use. A multi-disciplinary constraints analysis would have to be undertaken in different regions of the country to identify ways and means of bridging the gap between actual yield and the available potential with existing technology. He described the available untapped production reservoir as a ""blessing"" from this point of view.
 
 Expressing similar views, Indian Council of Agricultural Research director-general R S Paroda said farm research had shown that the real potential of the land even with the presently available technologies was three to four times the current output.






","R S Paroda, Swaminathan, Indian Council of Agricultural Research, India, M S Swaminathan","per, cent, said, also, market, company, india, bank, rs, would"
"Citibank has roped in Julio Ribeiro, former commissioner of police, Mumbai, as consultant to work out a fool-proof system to manage fraud in the banking industry, especially the credit card business.
 
 ","Citibank has roped in Julio Ribeiro, former commissioner of police, Mumbai, as consultant to work out a fool-proof system to manage fraud in the banking industry, especially the credit card business.
 
 As part of the move, Citibank has tied up with the Bangalore police to shae information and expertise on fraud management in the financial services industry. The bank has taken similar steps in Mumbai, New Delhi, and is stopping over at Chennai for the next round.
 
 ""We are looking seriously at the option of bringing in retired police officials to accompany bank personnel in cases like car loan default which are becoming rampant,"" Ribeiro said at a press conference here yesterday.
 
 But Citibank fumbled on the question of legality of the suggested measures. Ribeiro accepted that going through courts is the right way but argued that the bank had every right to repossess property that was not being paid for, especially if the customer profile was unfavourable.
 
 Talking of trends in banking fraud, Citibank's Fraud Risk Management Director, Richard Parry, said there is a definite move towards sophisticated counterfeiting of credit cards all across Asia while the present fraud profile in India stays  limited to lost and stolen cards.
 
 Earlier, last week in Chennai, Richard Parry, fraud risk management director of Citibank, Asia-Pacific had warned that the credit card market in India is currently unprotected and if this continues white-collar crime will be on the rise. ""With India becoming a global economy and having access to global products and services, it is increasingly vulnerable to the risks of white collar crime,"" Parry said.
 
 With a significant presence in the card business, Citibank closely monitors trends in fraud and shares its experience with the regulatory authority of the concerned country.
 
 Even in India, the bank shares information with government agencies, customs and excise officials regularly. To tackle crime in the industry more effectively,  Citibank has initiated a programme to educate law enforcement agencies and the public on issues of fraud management with specific reference to the credit card business. It has joined hands with the city police to create a platform for sharing expertise and experiences of fraud management in the financial services industry in India.
 
 ""Any financial institution is best served by being proactive and in trying to minimise losses ahead of time. The methods of sophistication in customer usage is different and so are the methods employed by criminals to break the system,"" Parry said.






","Citibank, Chennai, Parry, Fraud Risk Management, Ribeiro, Bangalore, Mumbai, New Delhi, Richard Parry, Julio Ribeiro, India, Asia-Pacific","rs, per, said, cent, company, would, market, also, india, consumer, per, cent, said, also, market, company, india, bank, rs, would"
The gross cropped area in the country has hovered around 186 million hectares since the beginning of the 1990s.,"The gross cropped area in the country has hovered around 186 million hectares since the beginning of the 1990s. This has led to the general belief that farm land cannot be expanded further without sacrificing the forest areas that nobody would advise to do. However, this is not entirely so. Vast stretches of land, estimated at about 8.4 million hectares, are affected with alkalinity, salinity or other soil afflictions which are curable. Reclamation of afflicted soil  can help increase the cropped acreage perceptibly with obvious consequences for farm production, employment and income generation.
 
 The Karnal-based Central Soil Salinity Research Institute (CSSRI) has already evolved, and successfully demonstrated in the field, the technology for restoring salt-affected land to good health, making it fit for crop production. The usefulness of this technology has recently been endorsed in the social audit conducted by a specially appointed committee which was headed by former minister of state for agriculture Som Pal and had experts as well as politicians as members. The audit report has minced no words to point out that the reclamation technology is financially feasible and yields several direct and indirect benefits.
 
 Unfortunately, this technology is yet to be gainfully exploited to the desired extent. Only about eight lakh hectares, not even 10 per cent of the total salt-affected land, has so far been ameliorated. The audit committee found the benefits accruing from putting this hitherto barren land to agricultural use to be enormous. Besides, producing an additional 3.5 to 4.0 million tonnes of foodgrains, valued at around Rs 1,000 crore, it has generated an annual employment of 75 million mandays. Impact studies have also shown that land restoration spurs growth of many agro-based and auxiliary industries, such as poultry, dairying, farm machinery repair centres, etc., in the restored tracts. The reclamation of water-logged saline lands has been found to result in reduced incidence of diseases like malaria, filaria and water-borne maladies.
 
 The salt-related adversities of the land include alkalinity, salinity, inland water-logged salinity and coastal salinity. Alkaline lands, known variously as sodic, ""ussar"" or ""kallar"", found predominantly in the Indo-Gangetic plains where good quality water is available are the easiest to rejuvenate. All that is needed is to mix adequate quantity of gypsum in the soil to neutralise the excess sodium present in the form of sodium carbonate. A crop of rice, followed by wheat, can be raised in the very first year after reclamation. The repeated additions of gypsum helps fully restore the soil health in a few years.
 
 The saline soils which generally contain a surfeit of soluble salts like chlorides and sulphates of sodium and magnesium, can be reclaimed by leaching down the salts by using lots of water. Mercifully, most of such soils are permeable enough to facilitate this treatment.
 
 But in areas where the water table is already high, such as water-logged saline lands, sub-surface drainage has to be provided for restoring the salt balance. In areas where water availability is limited, the CSSRI experts have devised ways to collect and utilise rain water for this purpose.
 
 The management of coastal salinity that has crippled over three million hectares in a 50-km wide belt along the entire sea coast, however, is a little more complicated affair as it requires preventive embankments as well as field level water management. The CSSRI has worked out the specific need-based details of these measures.
 
 It would indeed be a pity if such a useful technology is allowed to remain on paper for want of necessary initiatives from state governments. Only a few states, such as Haryana, Punjab, Uttar Pradesh, West Bengal, Gujarat, Maharashtra and Kerala, have shown some, albeit far from adequate, interest in it. The Centre can perhaps motivate them by providing higher budgetary support for land reclamation as recommended by the social audit committee.






","Karnal, Centre, Maharashtra, Kerala, filaria, Punjab, Uttar Pradesh, Gujarat, Indo-Gangetic, Central Soil Salinity Research Institute, Som Pal, Haryana, West Bengal","per, cent, said, also, market, company, india, bank, rs, would"
The Congress yesterday reacted sharply to Constitution Review Commission member P A Sangma's statement that he would   raise the issue of persons of foreign origin being barred from occupying high positions in the country.,"The Congress yesterday reacted sharply to Constitution Review Commission member P A Sangma's statement that he would   raise the issue of persons of foreign origin being barred from occupying high positions in the country. The Congress said Sangma seemed unaware of the fact that members did not decide the terms of reference for the commission.
 
 ""Even the chairman of the Commission does not have such power, "" Congress spokesman Anil Shastri said yesterday. He said the terms decided by the Union Cabinet were too vague and ""open-ended"", and could not be supported by the Congress. ""We are open to any change provided they are specified,"" he said.
 
 P A Sangma had left the Congress along with Sharad Pawar to form the Nationalist Congress Party (NCP) before the last Lok Sabha elections on the issue that persons of foreign origin should be barred from occupying the high offices of Prime Minister, the President and the Chief Justice of India.
 
 The Nationalist Congress Party  (NCP) had opposed the move the review the Constitution through a resolution adopted at its working committee meeting. Sangma, however, is already a part of the commission. Moreover, NCP president Sharad Pawar, whom Sangma could not contact before accepting the offer, also seems to be changing his stand on the review.
 
 Pawar said Sangma had not spoken to him till last evening. Pawar seemed to welcome the committee since it was headed by Justice M N Venkatachalaiah, who had made it clear that he would rather quit the panel than change the Constitution's basic features.






","Anil Shastri, the Union Cabinet, the Nationalist Congress Party, P A Sangma, Justice M N Venkatachalaiah, Lok Sabha, Commission, NCP, P A Sangma's, Sharad Pawar, Congress, Sangma, Pawar, The Nationalist Congress Party, India, Constitution Review Commission","said, rs, bank, per, would, india, banks, government, cent, also"
"The Goyals of Enkay Texofood have sold their textile division to a Mumbai-based closely held private firm Adinath Filament Ltd for a consideration of Rs 71 crore.  
 
 ","The Goyals of Enkay Texofood have sold their textile division to a Mumbai-based closely held private firm Adinath Filament Ltd for a consideration of Rs 71 crore.  
 
 As per the agreement reached between the two companies, there wil be no cash consideration involved the deal as Enkay will transfer the debt to the tune of Rs 71 crore to Adinath Filaments Ltd.  
 
 When contacted, the Enkay Texofood vice-chairman-cum-managing director Tulsi Goyal declined comment on the development. The textile units include 14 texturising, twisting and dyeing machines with an installed annual capacity of 10,128 spindles.  
 
 According to sources associated with the deal, both the parties had signed the agreement recently and the proposal is being for forward to the financial institutions for approval.  
 
 The entire debt restructuring exercise will be decided by the financial institutions shortly as the proposals is slated to be taken at the forthcoming head of institutions meeting (HIM).  
 
 Enkay Texofood has two divisions - textiles and food division manufacturing orange juice under the Onjus and Life brand name.  While the food division is a profit making company, the textile division has been incurring losses for around three years.  The textile division turnover has been consistently dropping for quite some time.






","HIM, Enkay Texofood, Enkay, Mumbai, Adinath Filaments Ltd., Tulsi Goyal, Adinath Filament Ltd, the Onjus and Life","per, cent, said, also, market, company, india, bank, rs, would"
Crest Communications will acquire Los Angeles-based Rich Animation Studios.,"Crest Communications will acquire Los Angeles-based Rich Animation Studios. According to sources, the company is expected to fork out close to $5 million for acquiring the lock, stock and barrel. The two companies have had a strategic relationship for a long time.
 
 ""Crest's board has already cleared the deal. However, detailed financial modalities are being worked out at the moment. A board meeting is slated for today to work on these modalities"" a company source confirmed the development to Business Standard.
 
 The source said that the company has committed to acquiring the studio and has not taken a decision on whether the acquired entity will remain a 100 per cent subsidiary yet to finalise modalities acquisition is expected to be funded through internal accruals.
 
 Senior company officials are visiting US to finalise modalities of acquisition. The deal is expected to be a combination of stock and cash. Richard Rich, the promoter of Rich Animation Studio is expected to join the board of Crest Communications.  ""Rich will focus on the creative aspect of the business. He offered to sell the company as there was a need to infuse capital in the business. Their requirement is close to $ 5 million. He will be a member of the board on Crest Communication. We have already approached a legal firm in the US for advice on seeking various regulatory approvals,"" the source added.
 
 The source said that the company expects its revenues through assignments to top Rs 22 crore.
 
 However, the greater impact of various alliances and deals struck by the company will be felt only in the next financial year.
 
 Sources say that the company will get access to the revenues from the existing order book of Rich Animation.
 
 ""Valuers and advisors in the company say that there are no liabilities that will be passed on to Crest. The capital infusion will result in a new lease of life for the studio and more business for Crest,"" the source said.
 
 According to market sources, the Crest Communications stock has rallied in anticipation of  this announcement for the past two weeks.
 
 The stock which was traded at Rs 596.70 on February 1, 2000 closed yesterday at Rs 818.70.






","Los Angeles, Rich Animation Studios, US, Richard Rich, Rich Animation, Crest Communication, Crest, Rich, Rich Animation Studio, Crest Communications, Business Standard","rs, per, said, cent, company, would, market, also, india, consumer"
Chipmaker Intel yesterday announced its e-business solutions provider (eBSP) programme in India.,"Chipmaker Intel yesterday announced its e-business solutions provider (eBSP) programme in India. This provides e business solutions providers with the latest infrastructure and training to take their customers' businesses to the Web successfully.
 
 ""In the last two years, we have recast ourselves as a supplier of technology to the Internet economy from just being a building block supplier to the new computer industry,"" said Sean Maloney, senior vice-president of Intel Corporation and director of the sales and marketing group, responsible for sales operations worldwide, addressing a press conference held here yesterday.
 
 ""Businesses that sell to each other will do so increasingly on the Web as it is a more efficient process. The question is how, because it is going to be very difficult,"" Maloney said.
 
 Maloney said eBSP plan allows developers to take advantage of a catalogue of Intel resources to develop, market and sell e-business applications and solutions. Developer support to the eBSP's will include access to on-line resource targeted at software developers. Intel will also dedicate engineering and marketing staff to provide latest information of tools and software.
 
 The plan is to be shortly launched in Europe and America.
 
 ""The programme will have three key elements, i.e. technology, marketing and business development,"" said Narendra Bhandari, manager, India Content Group, Intel.






","India Content Group, Intel, America, Maloney, Intel Corporation, Sean Maloney, Chipmaker Intel, India, Narendra Bhandari","per, cent, said, also, market, company, india, bank, rs, would"
"IFCI Ltd has been forced to postpone the closing date of its rights issue to February 19, as the Industrial Development Bank of India (IDBI), its principal shareholder, has sought more time to subscribe to its portion of the rights.
 
 ","IFCI Ltd has been forced to postpone the closing date of its rights issue to February 19, as the Industrial Development Bank of India (IDBI), its principal shareholder, has sought more time to subscribe to its portion of the rights.
 
 IDBI holds 28 per cent stake in IFCI, and has to invest about Rs 100 crore in IFCI via the Rs 352 crore rights issue. The issue is critical for IFCI to maintain minimum capital adequacy levels. This is the second time IFCI has postponed its issue, which opened on December 23. The issue was earlier scheduled to close on January 21, but was rescheduled to February 14, on account of increased demand for split forms, according to an IFCI release earlier.
 
 Sources said the second postponement to February 19 was on account of more time being sought by IDBI to subscribe to the issue. Institutional investors are expected to pick up shares on the last day, because in the intervening time they could earn interest on the funds earmarked for the issue. Financial institutions led by Industrial Development Bank of India (IDBI) control nearly 60 per cent of IFCI's equity. Sources however added that the retail response to the issue has been good. The issue, which opened on December 23, is critical for IFCI to meet higher capital adequacy of 9 per cent of risk weighted assets by March, 2000. As on March 31, 1999, the FI's capital adequacy was 8.37 per cent. 
 
 The rights issue of equity shares is being made at par in the ratio of 1:1, aggregating Rs 353 crore. The FI said the issue is aimed at boosting tier-1 capital in order to maintain the capital adequacy. The IFCI scrip is currently trading on the Bombay Stock Exchange (BSE) at about Rs 12.






","IFCI Ltd, IFCI, the Bombay Stock Exchange, the Industrial Development Bank of India, IDBI, BSE, Industrial Development Bank of India","rs, per, said, cent, company, would, market, also, india, consumer"
"Dunlop India Ltd (DIL) president, Murli Dhar Shukla, yesterday met West Bengal chief minister Jyoti Basu and confirmed that the Sahaganj factory in West Bengal will be re-opened on March 11, 2000.
 
 ","Dunlop India Ltd (DIL) president, Murli Dhar Shukla, yesterday met West Bengal chief minister Jyoti Basu and confirmed that the Sahaganj factory in West Bengal will be re-opened on March 11, 2000.
 
 ""I met the Chief Minister and conveyed that we are going ahead with our plan and there is no double thinking on re-opening Sahaganj on March 11,"" Shukla said.
 
 The Chief Minister had asked to advance the date of re-opening, to which Shukla said that this was not possible due to the technical nature of the problem and the time needed to put a technical team in place for the purpose.
 
 Shukla will meet the representatives of the Citu-affiliated Dunlop Workers' Union (DWU) and the Intuc-affiliated Dunlop Rubber Factory Labour Union today at the head office to decide on the details of a `plan realignment' to earlier holding operations.
 
 Shukla had already instructed critical members of the engineering and marketing team to return to Calcutta from Chennai for work on a realigned plan.
 
 In a another development, the All India Dunlop Employees Federation(AIDEF), a 500 strong body of employees submitted a letter to the DIL management calling for lifting the suspension of work order at various depots, including the head office and Calcutta district ""and pay the arrears as per the BIFR's directives,"" said Aniruddha Sengupta, AIDEF general secretary.






","Dunlop Workers' Union, the All India Dunlop Employees, Aniruddha Sengupta, AIDEF, Chennai, Dunlop Rubber Factory Labour Union, Shukla, Intuc, Dunlop India Ltd, DIL, Jyoti Basu, Citu, Murli Dhar Shukla, West Bengal, Sahaganj","said, rs, bank, per, would, india, banks, government, cent, also"
"Imagine a situation when a company, after acquiring nearly 81 per cent stake in a firm through negotiated deals, has failed to get the remaining 19 per cent shareholding by public offer.","Imagine a situation when a company, after acquiring nearly 81 per cent stake in a firm through negotiated deals, has failed to get the remaining 19 per cent shareholding by public offer. And that too, after offering a price 1,807 per cent higher than the ruling market rate.
 
 Sounds strange? It's happened to Henkel Spic India, the joint venture of the German detergents major Henkel with Spic, to acquire minority shareholding in Calcutta Chemical Company (Calchem). The reason: nearly nine per cent of the 19 per cent minority shareholders are said to be dead or untraceable.
 
 In addition, sensing that Henkel Spic India, which is keen to get 100 per cent control over Calchem, may offer something more soon, several shareholders declined to sell their entire holdings at one go.
 
 As a result, Henkel Spic has got the management control but falls short of the desired 100 per cent stake in Calchem.
 
 Henkel Spic, which had acquired Shaw Wallace's 55 per cent stake in Calchem at a rate of Rs 267 per share more than a year ago, has recently purchased nearly 26 per cent shareholding of the city-based Krishna Das Paul at a negotiated price. Then it came out with the public offer, priced at Rs 267 per share, to acquire the minority shareholding. The offer closed last month.
 
 A Calchem source said Henkel Spic has got nothing to lose as it has already acquired the management control in the company. "" Henkel Spic came out with the offer to conform to the Sebi norms. Those who did not opt for the offer will lose as the scrip will be delisted from the bourses soon. ""The Sebi norms make mandatory delisting for the companies which have less than 20 per cent shares with the minority shareholders.
 
 Henkel Spic officials could not be reached. However, an expert in corporate law and management said, as Calchem will not be termed a 100 per cent subsidiary of Henkel Spic,  it will cause ""some technical problems"" to the latter."" Having a 76 per cent stake is enough to effectively manage a company. So no point in acquiring 91 per cent stake if one fails to get the 100 per cent control, "" he added.






","Calchem, Henkel, Krishna Das Paul, Henkel Spic, Calcutta Chemical Company (Calchem, Shaw Wallace's, Henkel Spic India","per, cent, said, also, market, company, india, bank, rs, would"
"The Reserve Bank of India (RBI) has called for a meeting of chiefs of leading banks on February 17, 2000, to thrash out issues pertaining to the recently issued draft guidelines on insurance sector, and also discuss other issues like corporate governance and investment made by banks in non-SLR securities.
 
 ","The Reserve Bank of India (RBI) has called for a meeting of chiefs of leading banks on February 17, 2000, to thrash out issues pertaining to the recently issued draft guidelines on insurance sector, and also discuss other issues like corporate governance and investment made by banks in non-SLR securities.
 
 This apart, the RBI will also discuss with banks the progress made through the settlement advisory committee, and in the implementation of integrated risk management system including asset-liability management guidelines.
 
 The meeting is expected to be chaired by the deputy governor of RBI, S P Talwar. This is also a part of quarterly meeting which RBI holds with banks on supervision and compliance.
 
 Sources said that banks entry into insurance would be the focus of the meeting as banks had reacted strongly to guidelines issued by RBI stating them as ""to stringent"". Many banks are likely to request the RBI revise the benchmark set on non-performing assets level and relax the minimum capital required norm and also allow banks to take higher than 30 per cent stake in the insurance company.
 
 ""On corporate government, bank are of the view that RBI may discuss high government's  stake in light inability of banks to raise Tier-I issue by way of rights or fresh equity issue which could be aggressive debated among other things with RBI,"" said a banker.
 
 Sources said, ""As we move towards following practices of better It is also time for RBI to consider if there is a need to have their nominee in the bank's board.""
 
 In case of non-SLR securities, the RBI had set up a committee to review banks' investment in non-SLR securities and also suggested that such papers should be listed and rated.
 
 ""Heavy subscription is made by banks through the private placement market in the non-SLR securities and thus the RBI plan to discuss about it before formulating the final guidelines,"" said sources.
 
 On asset-liability management, the RBI has made it mandatory for all banks to implement it by March 2000 even when few banks are far from implementing it in toto.






","RBI, S P Talwar, The Reserve Bank of India","said, rs, bank, per, would, india, banks, government, cent, also"
